PeriodId;dateTime;Volume
1;2023-10-07T04:00:00Z;2542.2761033826737
2;2023-10-07T03:00:00Z;865.2128044604211
3;2023-10-07T02:00:00Z;1701.752481519305
4;2023-10-07T01:00:00Z;951.5997283539152
5;2023-10-07T00:00:00Z;1287.982736209736
6;2023-10-06T23:00:00Z;2414.551195559748
7;2023-10-06T22:00:00Z;2056.6192898686104
8;2023-10-06T21:00:00Z;1721.1918345929712
9;2023-10-06T20:00:00Z;1883.6852714852685
10;2023-10-06T19:00:00Z;2808.3183437011608
11;2023-10-06T18:00:00Z;2409.70129541398
12;2023-10-06T17:00:00Z;1307.7959839147798
13;2023-10-06T16:00:00Z;1298.701762416326
14;2023-10-06T15:00:00Z;1645.1607140586852
15;2023-10-06T14:00:00Z;1519.0884042363487
16;2023-10-06T13:00:00Z;1756.7155235791406
17;2023-10-06T12:00:00Z;2383.9551798273383
18;2023-10-06T11:00:00Z;2607.646172474897
19;2023-10-06T10:00:00Z;770.5338139404525
20;2023-10-06T09:00:00Z;2720.095484922063
21;2023-10-06T08:00:00Z;1305.246307571369
22;2023-10-06T07:00:00Z;1937.232799690438
23;2023-10-06T06:00:00Z;2204.1568960691816
24;2023-10-06T05:00:00Z;2709.7239196856754
