datetime;Volume
2024-04-29T22:00:00Z;6617.745919628484
2024-04-29T23:00:00Z;6221.38342273724
2024-04-30T00:00:00Z;6127.621806877106
2024-04-30T01:00:00Z;5319.44262058476
2024-04-30T02:00:00Z;8025.923405075986
2024-04-30T03:00:00Z;4280.138595780851
2024-04-30T04:00:00Z;6306.521829515218
2024-04-30T05:00:00Z;4861.963760677554
2024-04-30T06:00:00Z;5787.952945576445
2024-04-30T07:00:00Z;5585.027532173095
2024-04-30T08:00:00Z;5340.151155530175
2024-04-30T09:00:00Z;7105.3705471525645
2024-04-30T10:00:00Z;5422.869777575828
2024-04-30T11:00:00Z;7122.995618896475
2024-04-30T12:00:00Z;5930.115999062231
2024-04-30T13:00:00Z;5260.754425994679
2024-04-30T14:00:00Z;5086.101278824553
2024-04-30T15:00:00Z;5173.359025524528
2024-04-30T16:00:00Z;6417.550006287229
2024-04-30T17:00:00Z;5713.848423823766
2024-04-30T18:00:00Z;6272.093760717909
2024-04-30T19:00:00Z;4638.6784024430135
2024-04-30T20:00:00Z;5507.12470362591
2024-04-30T21:00:00Z;3635.948783367012
