PeriodId;dateTime;Volume
1;2023-10-07T04:00:00Z;206.09033471962954
2;2023-10-07T03:00:00Z;1672.352197387179
3;2023-10-07T02:00:00Z;2327.200016942842
4;2023-10-07T01:00:00Z;1902.3589658892056
5;2023-10-07T00:00:00Z;1872.0352002923319
6;2023-10-06T23:00:00Z;1235.3432982122542
7;2023-10-06T22:00:00Z;857.2702383602993
8;2023-10-06T21:00:00Z;1951.2881926290465
9;2023-10-06T20:00:00Z;2062.5194134272683
10;2023-10-06T19:00:00Z;2197.2554882161794
11;2023-10-06T18:00:00Z;1413.880279728031
12;2023-10-06T17:00:00Z;1518.7316611783135
13;2023-10-06T16:00:00Z;1812.5286876995056
14;2023-10-06T15:00:00Z;1063.7952348494405
15;2023-10-06T14:00:00Z;1297.717603053603
16;2023-10-06T13:00:00Z;2548.1807331263553
17;2023-10-06T12:00:00Z;1086.0615866516348
18;2023-10-06T11:00:00Z;1835.6225802661143
19;2023-10-06T10:00:00Z;1902.3332781961221
20;2023-10-06T09:00:00Z;730.5526553077302
21;2023-10-06T08:00:00Z;469.5580458866146
22;2023-10-06T07:00:00Z;1155.0187244226622
23;2023-10-06T06:00:00Z;1624.2362096016254
24;2023-10-06T05:00:00Z;2304.1247829802815
