datetime;Volume
2024-04-29T22:00:00Z;3575.2687421330015
2024-04-29T23:00:00Z;4341.1404950760225
2024-04-30T00:00:00Z;4030.918505383726
2024-04-30T01:00:00Z;4431.286287812426
2024-04-30T02:00:00Z;4521.139208285318
2024-04-30T03:00:00Z;3736.5888102014014
2024-04-30T04:00:00Z;4537.847301769006
2024-04-30T05:00:00Z;4930.832391577
2024-04-30T06:00:00Z;6220.864286825696
2024-04-30T07:00:00Z;4935.392240617567
2024-04-30T08:00:00Z;3863.7913845198664
2024-04-30T09:00:00Z;4915.034333126047
2024-04-30T10:00:00Z;3895.4027515279536
2024-04-30T11:00:00Z;4522.505334982256
2024-04-30T12:00:00Z;4271.37090349997
2024-04-30T13:00:00Z;4010.803280509084
2024-04-30T14:00:00Z;4972.789785507695
2024-04-30T15:00:00Z;3308.5355419554676
2024-04-30T16:00:00Z;5298.425371166888
2024-04-30T17:00:00Z;5193.079041449279
2024-04-30T18:00:00Z;4735.266769562779
2024-04-30T19:00:00Z;4298.426760069091
2024-04-30T20:00:00Z;3166.877030416662
2024-04-30T21:00:00Z;3409.80195221502
