PeriodId;dateTime;Volume
1;0001-01-01T23:00:00Z;4657.128767842561
2;0001-01-02T00:00:00Z;5649.063694694929
3;0001-01-02T01:00:00Z;2992.521671164087
4;0001-01-02T02:00:00Z;4814.509655462816
5;0001-01-02T03:00:00Z;5005.360173279789
6;0001-01-02T04:00:00Z;5442.589165209286
7;0001-01-02T05:00:00Z;4438.485936715629
8;0001-01-02T06:00:00Z;3620.156589766614
9;0001-01-02T07:00:00Z;4573.012476263577
10;0001-01-02T08:00:00Z;3635.355204048398
11;0001-01-02T09:00:00Z;3270.2806375685004
12;0001-01-02T10:00:00Z;3847.392241018001
13;0001-01-02T11:00:00Z;4497.417886286082
14;0001-01-02T12:00:00Z;4276.23770549875
15;0001-01-02T13:00:00Z;3973.430690760063
16;0001-01-02T14:00:00Z;3945.6817800875656
17;0001-01-02T15:00:00Z;3400.6234697020377
18;0001-01-02T16:00:00Z;4226.537870900761
19;0001-01-02T17:00:00Z;5073.782557109486
20;0001-01-02T18:00:00Z;3229.9735678286365
21;0001-01-02T19:00:00Z;5241.479386478553
22;0001-01-02T20:00:00Z;2710.104612029847
23;0001-01-02T21:00:00Z;5442.577027217494
24;0001-01-02T22:00:00Z;3575.830948653401
